# 2026-09-04T16:17:00Z leaf D gate
	github.com/sfc-gh-eraigosa/dotfiles/sdk/fleet		coverage: 0.0% of statements
ok  	github.com/sfc-gh-eraigosa/dotfiles/sdk/fleet/cmd	1.319s	coverage: 62.5% of statements
ok  	github.com/sfc-gh-eraigosa/dotfiles/sdk/fleet/internal/cfgplan	(cached)	coverage: 90.8% of statements
ok  	github.com/sfc-gh-eraigosa/dotfiles/sdk/fleet/internal/drift	(cached)	coverage: 100.0% of statements
ok  	github.com/sfc-gh-eraigosa/dotfiles/sdk/fleet/internal/featflag	1.063s	coverage: 96.6% of statements
ok  	github.com/sfc-gh-eraigosa/dotfiles/sdk/fleet/internal/keys	(cached)	coverage: 100.0% of statements
ok  	github.com/sfc-gh-eraigosa/dotfiles/sdk/fleet/internal/lanscan	(cached)	coverage: 80.8% of statements
ok  	github.com/sfc-gh-eraigosa/dotfiles/sdk/fleet/internal/reach	1.170s	coverage: 82.4% of statements
ok  	github.com/sfc-gh-eraigosa/dotfiles/sdk/fleet/internal/runner	(cached)	coverage: 57.0% of statements
ok  	github.com/sfc-gh-eraigosa/dotfiles/sdk/fleet/internal/sshconf	(cached)	coverage: 94.5% of statements
ok  	github.com/sfc-gh-eraigosa/dotfiles/sdk/fleet/internal/sshfail	(cached)	coverage: 93.3% of statements
ok  	github.com/sfc-gh-eraigosa/dotfiles/sdk/fleet/internal/stamp	(cached)	coverage: 100.0% of statements
ok  	github.com/sfc-gh-eraigosa/dotfiles/sdk/fleet/internal/updexec	(cached)	coverage: 92.7% of statements
ok  	github.com/sfc-gh-eraigosa/dotfiles/sdk/fleet/internal/updplan	(cached)	coverage: 93.9% of statements
